,date,bitcoin,eth,solana,aave,fantom,dash crypto
0,2021-01-03,97,52,0,51,62,22
1,2021-01-10,95,39,0,81,65,19
2,2021-01-17,58,31,0,56,65,15
3,2021-01-24,56,33,0,100,49,31
4,2021-01-31,51,44,0,48,64,32
5,2021-02-07,86,49,0,57,60,39
6,2021-02-14,81,51,0,85,57,34
7,2021-02-21,88,47,0,66,77,29
8,2021-02-28,57,31,67,76,67,21
9,2021-03-07,55,33,0,58,47,23
10,2021-03-14,55,30,62,41,51,25
11,2021-03-21,49,26,66,70,40,23
12,2021-03-28,50,35,0,22,72,23
13,2021-04-04,40,34,0,72,59,26
14,2021-04-11,58,48,0,58,49,53
15,2021-04-18,70,48,0,54,100,76
16,2021-04-25,51,47,0,58,64,46
17,2021-05-02,46,98,0,88,59,83
18,2021-05-09,64,100,69,78,53,100
19,2021-05-16,100,86,0,69,84,81
20,2021-05-23,69,67,0,73,61,51
21,2021-05-30,46,45,69,51,55,38
22,2021-06-06,51,37,0,36,58,31
23,2021-06-13,41,31,0,63,46,30
24,2021-06-20,50,37,0,28,42,31
25,2021-06-27,35,29,0,46,45,23
26,2021-07-04,30,25,0,71,50,20
27,2021-07-11,28,24,0,54,53,18
28,2021-07-18,33,26,69,65,45,18
29,2021-07-25,39,29,0,51,37,20
30,2021-08-01,31,41,0,46,45,20
31,2021-08-08,35,42,69,47,33,27
32,2021-08-15,32,35,0,50,51,25
33,2021-08-22,29,31,70,52,62,26
34,2021-08-29,27,42,0,51,53,26
35,2021-09-05,37,40,73,69,51,31
36,2021-09-12,26,28,0,81,31,24
37,2021-09-19,34,32,0,71,37,25
38,2021-09-26,27,28,0,63,32,22
39,2021-10-03,34,32,0,48,37,33
40,2021-10-10,39,34,0,24,34,31
41,2021-10-17,56,46,100,60,29,35
